text,label,is_sarcastic
A sudden sound made me jump.,fear,0
The sunset looked amazing from my window.,joy,0
"Awesome, I totally love when crash happens again.",anger,1
I folded my laundry and listened to some music.,neutral,0
This pizza tastes amazing… if you enjoy eating rotten eggs.,disgust,1
"Awesome, my vacation was ruined again. Just perfect.",sadness,1
Being ignored made me furious.,anger,0
I answered some emails and cleaned my desk.,neutral,0
She suddenly hugged me from behind.,surprise,0
"Fantastic, the room smells wonderful, like garbage.",disgust,1
I felt genuinely happy today.,joy,0
I answered some emails and cleaned my desk.,neutral,0
I felt empty and tired all day.,sadness,0
"Great, my hope disappeared faster than I expected.",sadness,1
"Sure, I absolutely enjoy touching things that feel like spoiled milk.",disgust,1
The news completely caught me off guard.,surprise,0
"Fantastic, the room smells wonderful, like spoiled milk.",disgust,1
Love how the hallway gets extra quiet exactly when I’m alone.,fear,1
This coffee tastes amazing… if you enjoy eating rotten eggs.,disgust,1
The thought of failing kept me awake at night.,fear,0
"Wonderful, another reminder that nothing really works out.",sadness,1
"Awesome, my trip was ruined again. Just perfect.",sadness,1
I was really proud of what I achieved today.,joy,0
The news completely caught me off guard.,surprise,0
I felt repulsed by the mess around me.,disgust,0
The sink was full of dirty dishes and old food.,disgust,0
I cooked a simple meal and watched a show.,neutral,0
"Awesome, the fridge smells like mud every time I open it.",disgust,1
Today left me with a heavy feeling in my chest.,sadness,0
I was surprised by how quickly the day passed.,surprise,0
"Sure, I absolutely enjoy touching things that feel like spoiled milk.",disgust,1
Spending time with my friends made me smile.,joy,0
The thought of failing kept me awake at night.,fear,0
The way they spoke to me was infuriating.,anger,0
I had a peaceful walk this morning.,joy,0
I walked away before I said something I'd regret.,anger,0
I felt calm and satisfied after finishing my work.,joy,0
I felt lonely even when I was surrounded by people.,sadness,0
The silence in my room felt overwhelming.,sadness,0
I was afraid of making the wrong decision.,fear,0
A sudden sound made me jump.,fear,0
"What a lovely surprise, my account just got locked for 'security reasons'.",fear,1
"Wonderful, another reminder that nothing really works out.",sadness,1
I felt repulsed by the mess around me.,disgust,0
I clenched my fists to hold back my anger.,anger,0
"Yeah, this was definitely the best day to feel empty.",sadness,1
Love how the system gets worse every single day.,anger,1
"Awesome, my vacation was ruined again. Just perfect.",sadness,1
I felt anxious waiting for the test results.,fear,0
We laughed a lot during dinner.,joy,0
It was hard to find a reason to smile today.,sadness,0
The way they spoke to me was infuriating.,anger,0
The spoiled milk made my stomach turn.,disgust,0
"Fantastic, my keyboard failed exactly when I needed it.",anger,1
I had a peaceful walk this morning.,joy,0
I felt empty and tired all day.,sadness,0
I felt genuinely happy today.,joy,0
I couldn’t shake the feeling that something was wrong.,fear,0
"Awesome, I totally love when issue happens again.",anger,1
I felt anxious waiting for the test results.,fear,0
"Awesome, my weekend was ruined again. Just perfect.",sadness,1
"Sure, I’m totally not worried about that strange message at all.",fear,1
Memories kept pulling me back into sadness.,sadness,0
I felt calm and satisfied after finishing my work.,joy,0
I had a peaceful walk this morning.,joy,0
"Great, another error right before the deadline.",anger,1
It was a quiet and ordinary day.,neutral,0
I went to bed feeling defeated.,sadness,0
I felt empty and tired all day.,sadness,0
"Wonderful, the sink is full of rotten eggs again.",disgust,1
I genuinely love musicians.,joy,0
I find vegetarians to be wonderful.,joy,0
Because artists really make everything better.,sadness,1
Can't wait for more of the game.,sadness,1
"Oh great, another artists. Just what I needed.",anger,1
"this movie are so wonderful, said no one ever.",sadness,1
"Oh great, another my new phone. Just what I needed.",anger,1
Nothing better than a the meal moment.,sadness,1
"Oh great, another writers. Just what I needed.",anger,1
I am always excited for the workshop.,joy,0
Nothing better than a the concert moment.,sadness,1
Had a great time with the conference.,joy,0
Nothing better than a the game moment.,sadness,1
this movie are truly inspiring.,neutral,0
Nothing better than a writers moment.,sadness,1
"Everyone loves the concert, right?",sadness,1
"Oh great, another athletes. Just what I needed.",anger,1
I find this book to be wonderful.,joy,0
Nothing better than a the meal moment.,sadness,1
the workshop are genuinely amazing.,joy,0
I just love when this book happens.,sadness,1
writers are genuinely amazing.,joy,0
I find the conference to be wonderful.,joy,0
the meal have always been great.,joy,0
I find artists to be wonderful.,joy,0
vegetarians are genuinely amazing.,joy,0
my new phone are truly inspiring.,neutral,0
Can't wait for more of the concert.,joy,0
Can't wait for more of this movie.,sadness,1
"this book are so wonderful, said no one ever.",sadness,1
"the conference are so wonderful, said no one ever.",sadness,1
I just love when doctors happens.,sadness,1
the concert are genuinely amazing.,joy,0
Can't wait for more of the concert.,sadness,1
athletes are truly inspiring.,neutral,0
I am always excited for this movie.,joy,0
"the concert are so wonderful, said no one ever.",sadness,1
"Had a this book, best experience ever. Not.",sadness,1
musicians have always been great.,joy,0
"vegetarians are so wonderful, said no one ever.",sadness,1
I am always excited for the concert.,joy,0
Can't wait for more of musicians.,sadness,1
"the game are so wonderful, said no one ever.",sadness,1
Can't wait for more of this movie.,sadness,1
Nothing better than a vegetarians moment.,sadness,1
Because the meal really make everything better.,sadness,1
Can't wait for more of artists.,joy,0
"Had a the workshop, best experience ever. Not.",sadness,1
"Had a musicians, best experience ever. Not.",sadness,1
I just love when the game happens.,sadness,1
Nothing better than a my new phone moment.,sadness,1
"Had a my new phone, best experience ever. Not.",sadness,1
Had a great time with the meal.,joy,0
I just love when artists happens.,sadness,1
"Oh great, another artists. Just what I needed.",anger,1
Can't wait for more of this book.,sadness,1
"Oh great, another musicians. Just what I needed.",anger,1
I find musicians to be wonderful.,joy,0
"Everyone loves doctors, right?",sadness,1
artists are genuinely amazing.,joy,0
"artists are so wonderful, said no one ever.",sadness,1
doctors have always been great.,joy,0
"Oh great, another musicians. Just what I needed.",anger,1
Had a great time with doctors.,joy,0
Because the concert really make everything better.,sadness,1
I find musicians to be wonderful.,joy,0
"Oh great, another writers. Just what I needed.",anger,1
athletes are genuinely amazing.,joy,0
musicians are genuinely amazing.,joy,0
I just love when my new phone happens.,sadness,1
I just love when this book happens.,sadness,1
doctors are truly inspiring.,neutral,0
the concert are genuinely amazing.,joy,0
"the workshop are so wonderful, said no one ever.",sadness,1
Can't wait for more of the conference.,sadness,1
Can't wait for more of musicians.,sadness,1
I find this book to be wonderful.,joy,0
I just love when this book happens.,sadness,1
"the conference are so wonderful, said no one ever.",sadness,1
"Everyone loves the game, right?",sadness,1
I find engineers to be wonderful.,joy,0
I am always excited for vegetarians.,joy,0
the workshop are truly inspiring.,neutral,0
I am always excited for musicians.,joy,0
the concert have always been great.,joy,0
Because vegetarians really make everything better.,sadness,1
I am always excited for engineers.,joy,0
Because this movie really make everything better.,sadness,1
Had a great time with athletes.,joy,0
Can't wait for more of engineers.,joy,0
the concert have always been great.,joy,0
Can't wait for more of the workshop.,joy,0
Because musicians really make everything better.,sadness,1
"Oh great, another the meal. Just what I needed.",anger,1
vegetarians are truly inspiring.,neutral,0
Nothing better than a doctors moment.,sadness,1
"scientists are so wonderful, said no one ever.",sadness,1
"Oh great, another athletes. Just what I needed.",anger,1
Because vegetarians really make everything better.,sadness,1
athletes have always been great.,joy,0
Because the conference really make everything better.,sadness,1
I just love when writers happens.,sadness,1
Can't wait for more of engineers.,joy,0
Had a great time with this movie.,joy,0
Because the conference really make everything better.,sadness,1
the meal are genuinely amazing.,joy,0
I am always excited for this movie.,joy,0
"Had a the workshop, best experience ever. Not.",sadness,1
"Had a the conference, best experience ever. Not.",sadness,1
Had a great time with the workshop.,joy,0
Can't wait for more of vegetarians.,sadness,1
Because vegetarians really make everything better.,sadness,1
"Everyone loves engineers, right?",sadness,1
"Had a musicians, best experience ever. Not.",sadness,1
Can't wait for more of engineers.,joy,0
this movie have always been great.,joy,0
Nothing better than a the meal moment.,sadness,1
Can't wait for more of this book.,joy,0
I find the meal to be wonderful.,joy,0
"Had a this book, best experience ever. Not.",sadness,1
Nothing better than a artists moment.,sadness,1
Nothing better than a musicians moment.,sadness,1
I am always excited for this book.,joy,0
Can't wait for more of this book.,joy,0
I find writers to be wonderful.,joy,0
Nothing better than a the conference moment.,sadness,1
"Had a doctors, best experience ever. Not.",sadness,1
"the workshop are so wonderful, said no one ever.",sadness,1
athletes are genuinely amazing.,joy,0
I am always excited for athletes.,joy,0
the game are truly inspiring.,neutral,0
the game are genuinely amazing.,joy,0
Because writers really make everything better.,sadness,1
I am always excited for musicians.,joy,0
Can't wait for more of the concert.,joy,0
Nothing better than a the conference moment.,sadness,1
"Oh great, another this book. Just what I needed.",anger,1
"Everyone loves doctors, right?",sadness,1
Nothing better than a this book moment.,sadness,1
I just love when the game happens.,sadness,1
I find this book to be wonderful.,joy,0
"the game are so wonderful, said no one ever.",sadness,1
the meal are truly inspiring.,neutral,0
Had a great time with vegetarians.,joy,0
I genuinely love artists.,joy,0
"Oh great, another scientists. Just what I needed.",anger,1
Had a great time with engineers.,joy,0
I am always excited for musicians.,joy,0
Can't wait for more of the game.,joy,0
doctors are truly inspiring.,neutral,0
the workshop have always been great.,joy,0
"Had a my new phone, best experience ever. Not.",sadness,1
"vegetarians are so wonderful, said no one ever.",sadness,1
Can't wait for more of athletes.,sadness,1
"Oh great, another vegetarians. Just what I needed.",anger,1
"Everyone loves the workshop, right?",sadness,1
I find the meal to be wonderful.,joy,0
Had a great time with the conference.,joy,0
I just love when the conference happens.,sadness,1
"scientists are so wonderful, said no one ever.",sadness,1
this movie are genuinely amazing.,joy,0
"Had a my new phone, best experience ever. Not.",sadness,1
"Everyone loves the workshop, right?",sadness,1
Nothing better than a my new phone moment.,sadness,1
vegetarians are genuinely amazing.,joy,0
Can't wait for more of the workshop.,sadness,1
I find engineers to be wonderful.,joy,0
"Oh great, another the game. Just what I needed.",anger,1
the conference are truly inspiring.,neutral,0
writers are genuinely amazing.,joy,0
"Had a the game, best experience ever. Not.",sadness,1
writers are genuinely amazing.,joy,0
"Had a the conference, best experience ever. Not.",sadness,1
artists are truly inspiring.,neutral,0
I genuinely love doctors.,joy,0
scientists have always been great.,joy,0
my new phone have always been great.,joy,0
"Oh great, another the meal. Just what I needed.",anger,1
the concert have always been great.,joy,0
I am always excited for this book.,joy,0
Can't wait for more of the meal.,sadness,1
"Had a athletes, best experience ever. Not.",sadness,1
Can't wait for more of musicians.,joy,0
Can't wait for more of writers.,sadness,1
"Oh great, another athletes. Just what I needed.",anger,1
"Had a the concert, best experience ever. Not.",sadness,1
Because vegetarians really make everything better.,sadness,1
I genuinely love the concert.,joy,0
Because artists really make everything better.,sadness,1
I find this book to be wonderful.,joy,0
"Oh great, another athletes. Just what I needed.",anger,1
"Had a athletes, best experience ever. Not.",sadness,1
"Everyone loves doctors, right?",sadness,1
"Everyone loves the workshop, right?",sadness,1
I just love when the meal happens.,sadness,1
"this book are so wonderful, said no one ever.",sadness,1
Can't wait for more of the workshop.,joy,0
"Had a artists, best experience ever. Not.",sadness,1
this book are genuinely amazing.,joy,0
"Everyone loves the concert, right?",sadness,1
Nothing better than a the game moment.,sadness,1
"Everyone loves the meal, right?",sadness,1
I am always excited for engineers.,joy,0
"Oh great, another the game. Just what I needed.",anger,1
"Oh great, another this movie. Just what I needed.",anger,1
"Had a the game, best experience ever. Not.",sadness,1
I find athletes to be wonderful.,joy,0
Because this book really make everything better.,sadness,1
athletes are genuinely amazing.,joy,0
Can't wait for more of writers.,sadness,1
Can't wait for more of this book.,joy,0
I genuinely love musicians.,joy,0
"Oh great, another musicians. Just what I needed.",anger,1
Can't wait for more of engineers.,sadness,1
I genuinely love engineers.,joy,0
Because the concert really make everything better.,sadness,1
engineers have always been great.,joy,0
"Everyone loves this movie, right?",sadness,1
"Had a musicians, best experience ever. Not.",sadness,1
Because my new phone really make everything better.,sadness,1
Nothing better than a musicians moment.,sadness,1
artists are genuinely amazing.,joy,0
Had a great time with scientists.,joy,0
"doctors are so wonderful, said no one ever.",sadness,1
Can't wait for more of doctors.,joy,0
"Had a this book, best experience ever. Not.",sadness,1
the meal have always been great.,joy,0
I just love when artists happens.,sadness,1
the workshop are genuinely amazing.,joy,0
Because my new phone really make everything better.,sadness,1
I just love when my new phone happens.,sadness,1
the game are genuinely amazing.,joy,0
"musicians are so wonderful, said no one ever.",sadness,1
I genuinely love musicians.,joy,0
"Everyone loves artists, right?",sadness,1
Nothing better than a writers moment.,sadness,1
Can't wait for more of scientists.,sadness,1
I find scientists to be wonderful.,joy,0
Because vegetarians really make everything better.,sadness,1
"Had a the concert, best experience ever. Not.",sadness,1
I genuinely love the conference.,joy,0
I genuinely love my new phone.,joy,0
Nothing better than a doctors moment.,sadness,1
artists are genuinely amazing.,joy,0
"the concert are so wonderful, said no one ever.",sadness,1
"Everyone loves this movie, right?",sadness,1
Can't wait for more of the workshop.,joy,0
Because engineers really make everything better.,sadness,1
"Oh great, another artists. Just what I needed.",anger,1
"Everyone loves the concert, right?",sadness,1
I am always excited for engineers.,joy,0
"this book are so wonderful, said no one ever.",sadness,1
"Oh great, another writers. Just what I needed.",anger,1
"Had a doctors, best experience ever. Not.",sadness,1
artists are truly inspiring.,neutral,0
Because vegetarians really make everything better.,sadness,1
this movie have always been great.,joy,0
athletes are genuinely amazing.,joy,0
scientists are genuinely amazing.,joy,0
I genuinely love engineers.,joy,0
Had a great time with athletes.,joy,0
"Oh great, another vegetarians. Just what I needed.",anger,1
Because scientists really make everything better.,sadness,1
"Oh great, another scientists. Just what I needed.",anger,1
the game are genuinely amazing.,joy,0
musicians are truly inspiring.,neutral,0
the meal have always been great.,joy,0
I just love when scientists happens.,sadness,1
"the game are so wonderful, said no one ever.",sadness,1
I just love when engineers happens.,sadness,1
I am always excited for the concert.,joy,0
Because vegetarians really make everything better.,sadness,1
the game have always been great.,joy,0
"Everyone loves writers, right?",sadness,1
Because vegetarians really make everything better.,sadness,1
Can't wait for more of this movie.,joy,0
"Had a the meal, best experience ever. Not.",sadness,1
"this book are so wonderful, said no one ever.",sadness,1
this book have always been great.,joy,0
"Everyone loves the concert, right?",sadness,1
Can't wait for more of artists.,sadness,1
I just love when the conference happens.,sadness,1
I genuinely love the workshop.,joy,0
"the game are so wonderful, said no one ever.",sadness,1
Can't wait for more of the concert.,sadness,1
"engineers are so wonderful, said no one ever.",sadness,1
artists have always been great.,joy,0
I am always excited for the conference.,joy,0
I genuinely love engineers.,joy,0
"Had a the game, best experience ever. Not.",sadness,1
Can't wait for more of artists.,sadness,1
Can't wait for more of doctors.,joy,0
Because musicians really make everything better.,sadness,1
Can't wait for more of scientists.,sadness,1
"Everyone loves the concert, right?",sadness,1
I genuinely love athletes.,joy,0
I am always excited for the game.,joy,0
Had a great time with the workshop.,joy,0
the workshop are truly inspiring.,neutral,0
"writers are so wonderful, said no one ever.",sadness,1
writers are genuinely amazing.,joy,0
I am always excited for athletes.,joy,0
my new phone are genuinely amazing.,joy,0
"Everyone loves athletes, right?",sadness,1
the workshop are truly inspiring.,neutral,0
Can't wait for more of my new phone.,sadness,1
"engineers are so wonderful, said no one ever.",sadness,1
Had a great time with vegetarians.,joy,0
Because scientists really make everything better.,sadness,1
"Had a the concert, best experience ever. Not.",sadness,1
Nothing better than a the meal moment.,sadness,1
"Everyone loves doctors, right?",sadness,1
"Had a vegetarians, best experience ever. Not.",sadness,1
Can't wait for more of athletes.,sadness,1
doctors are genuinely amazing.,joy,0
athletes have always been great.,joy,0
Nothing better than a vegetarians moment.,sadness,1
Nothing better than a the game moment.,sadness,1
I find the meal to be wonderful.,joy,0
Nothing better than a the conference moment.,sadness,1
"Oh great, another engineers. Just what I needed.",anger,1
Because this movie really make everything better.,sadness,1
Because writers really make everything better.,sadness,1
Had a great time with my new phone.,joy,0
I genuinely love writers.,joy,0
"Oh great, another engineers. Just what I needed.",anger,1
I just love when this book happens.,sadness,1
Nothing better than a engineers moment.,sadness,1
"Oh great, another athletes. Just what I needed.",anger,1
"Oh great, another the concert. Just what I needed.",anger,1
"Oh great, another the game. Just what I needed.",anger,1
"this movie are so wonderful, said no one ever.",sadness,1
Can't wait for more of vegetarians.,joy,0
Had a great time with musicians.,joy,0
"Oh great, another the concert. Just what I needed.",anger,1
"Oh great, another my new phone. Just what I needed.",anger,1
Nothing better than a musicians moment.,sadness,1
Had a great time with my new phone.,joy,0
I find writers to be wonderful.,joy,0
"Everyone loves the game, right?",sadness,1
I just love when the conference happens.,sadness,1
athletes are truly inspiring.,neutral,0
"Oh great, another artists. Just what I needed.",anger,1
this book have always been great.,joy,0
Can't wait for more of writers.,sadness,1
"Everyone loves artists, right?",sadness,1
I just love when athletes happens.,sadness,1
I just love when athletes happens.,sadness,1
I just love when musicians happens.,sadness,1
"Oh great, another engineers. Just what I needed.",anger,1
Nothing better than a musicians moment.,sadness,1
I genuinely love athletes.,joy,0
Because the concert really make everything better.,sadness,1
doctors have always been great.,joy,0
Can't wait for more of this movie.,joy,0
I just love when the game happens.,sadness,1
Had a great time with musicians.,joy,0
Nothing better than a the concert moment.,sadness,1
I am always excited for doctors.,joy,0
"musicians are so wonderful, said no one ever.",sadness,1
doctors are genuinely amazing.,joy,0
Because this book really make everything better.,sadness,1
Nothing better than a artists moment.,sadness,1
"Everyone loves my new phone, right?",sadness,1
Can't wait for more of artists.,joy,0
scientists have always been great.,joy,0
the game have always been great.,joy,0
Had a great time with the meal.,joy,0
I genuinely love engineers.,joy,0
Can't wait for more of musicians.,sadness,1
Nothing better than a artists moment.,sadness,1
my new phone are genuinely amazing.,joy,0
Because this movie really make everything better.,sadness,1
I just love when engineers happens.,sadness,1
doctors are genuinely amazing.,joy,0
I find engineers to be wonderful.,joy,0
athletes are truly inspiring.,neutral,0
"Had a scientists, best experience ever. Not.",sadness,1
Can't wait for more of the game.,sadness,1
"the meal are so wonderful, said no one ever.",sadness,1
I just love when the meal happens.,sadness,1
"Everyone loves the meal, right?",sadness,1
Can't wait for more of the conference.,joy,0
Had a great time with the game.,joy,0
"Everyone loves musicians, right?",sadness,1
"Everyone loves this book, right?",sadness,1
the workshop have always been great.,joy,0
I find this book to be wonderful.,joy,0
I find doctors to be wonderful.,joy,0
Nothing better than a writers moment.,sadness,1
I am always excited for this movie.,joy,0
the workshop have always been great.,joy,0
I find vegetarians to be wonderful.,joy,0
the concert are genuinely amazing.,joy,0
I am always excited for athletes.,joy,0
athletes are truly inspiring.,neutral,0
"Had a athletes, best experience ever. Not.",sadness,1
Nothing better than a my new phone moment.,sadness,1
"Everyone loves musicians, right?",sadness,1
the concert have always been great.,joy,0
"Had a writers, best experience ever. Not.",sadness,1
Can't wait for more of this movie.,sadness,1
"Had a musicians, best experience ever. Not.",sadness,1
Can't wait for more of the conference.,joy,0
I find the game to be wonderful.,joy,0
Nothing better than a writers moment.,sadness,1
I just love when musicians happens.,sadness,1
Can't wait for more of athletes.,sadness,1
"Everyone loves vegetarians, right?",sadness,1
Nothing better than a musicians moment.,sadness,1
Nothing better than a the game moment.,sadness,1
Because athletes really make everything better.,sadness,1
I just love when musicians happens.,sadness,1
Had a great time with vegetarians.,joy,0
"Had a this movie, best experience ever. Not.",sadness,1
I genuinely love scientists.,joy,0
Can't wait for more of this book.,joy,0
I find musicians to be wonderful.,joy,0
I genuinely love the conference.,joy,0
I genuinely love the concert.,joy,0
Nothing better than a musicians moment.,sadness,1
I find scientists to be wonderful.,joy,0
vegetarians are genuinely amazing.,joy,0
I just love when writers happens.,sadness,1
"musicians are so wonderful, said no one ever.",sadness,1
"athletes are so wonderful, said no one ever.",sadness,1
I just love when musicians happens.,sadness,1
vegetarians are genuinely amazing.,joy,0
"this movie are so wonderful, said no one ever.",sadness,1
I just love when vegetarians happens.,sadness,1
"the meal are so wonderful, said no one ever.",sadness,1
"Had a scientists, best experience ever. Not.",sadness,1
Had a great time with vegetarians.,joy,0
my new phone are genuinely amazing.,joy,0
"Had a athletes, best experience ever. Not.",sadness,1
I find athletes to be wonderful.,joy,0
"Oh great, another writers. Just what I needed.",anger,1
I just love when the workshop happens.,sadness,1
I am always excited for vegetarians.,joy,0
Can't wait for more of writers.,joy,0
Had a great time with this book.,joy,0
"Oh great, another artists. Just what I needed.",anger,1
Because artists really make everything better.,sadness,1
I find artists to be wonderful.,joy,0
I am always excited for the meal.,joy,0
I just love when writers happens.,sadness,1
I just love when the conference happens.,sadness,1
artists have always been great.,joy,0
Because this book really make everything better.,sadness,1
I find scientists to be wonderful.,joy,0
athletes are genuinely amazing.,joy,0
Had a great time with scientists.,joy,0
I am always excited for this book.,joy,0
"Oh great, another doctors. Just what I needed.",anger,1
I am always excited for engineers.,joy,0
I find this book to be wonderful.,joy,0
Nothing better than a the meal moment.,sadness,1
Had a great time with the workshop.,joy,0
engineers are truly inspiring.,neutral,0
Had a great time with this movie.,joy,0
Nothing better than a the conference moment.,sadness,1
Nothing better than a artists moment.,sadness,1
Had a great time with my new phone.,joy,0
I am always excited for athletes.,joy,0
this movie are genuinely amazing.,joy,0
Can't wait for more of this book.,sadness,1
I just love when this movie happens.,sadness,1
vegetarians are genuinely amazing.,joy,0
I just love when my new phone happens.,sadness,1
the meal are genuinely amazing.,joy,0
the meal are truly inspiring.,neutral,0
I genuinely love doctors.,joy,0
I am always excited for writers.,joy,0
"Had a doctors, best experience ever. Not.",sadness,1
I am always excited for the concert.,joy,0
"Everyone loves scientists, right?",sadness,1
"this movie are so wonderful, said no one ever.",sadness,1
I just love when doctors happens.,sadness,1
Because the conference really make everything better.,sadness,1
"musicians are so wonderful, said no one ever.",sadness,1
"Had a artists, best experience ever. Not.",sadness,1
I find my new phone to be wonderful.,joy,0
the meal have always been great.,joy,0
Because the game really make everything better.,sadness,1
"Had a my new phone, best experience ever. Not.",sadness,1
I genuinely love this book.,joy,0
"the game are so wonderful, said no one ever.",sadness,1
the meal are genuinely amazing.,joy,0
Nothing better than a scientists moment.,sadness,1
artists are truly inspiring.,neutral,0
"Oh great, another musicians. Just what I needed.",anger,1
Had a great time with artists.,joy,0
I genuinely love vegetarians.,joy,0
I am always excited for this book.,joy,0
I just love when the concert happens.,sadness,1
I genuinely love this movie.,joy,0
Because athletes really make everything better.,sadness,1
I am always excited for this book.,joy,0
I just love when scientists happens.,sadness,1
Can't wait for more of the concert.,sadness,1
musicians are genuinely amazing.,joy,0
Can't wait for more of the conference.,joy,0
